"Year","Month","Day","Date","OpHours","MethodCode"
1999,"Dec",1,1999-12-01,682.5,"RSTR"
1999,"Jan",1,1999-01-01,744,"RSTR"
1999,"Feb",1,1999-02-01,651,"RSTR"
1999,"Mar",1,1999-03-01,739.7166667,"RSTR"
1999,"Apr",1,1999-04-01,620.2166667,"RSTR"
1999,"May",1,1999-05-01,744,"RSTR"
1999,"Jun",1,1999-06-01,720,"RSTR"
1999,"July",1,1999-07-01,178,"RSTR"
2000,"Jan",1,2000-01-01,466.75,"RSTR"
2000,"Feb",1,2000-02-01,375.2333333,"RSTR"
2000,"Mar",1,2000-03-01,374.4833333,"RSTR"
2000,"Apr",1,2000-04-01,720,"RSTR"
2000,"May",1,2000-05-01,744,"RSTR"
2000,"Jun",1,2000-06-01,706.75,"RSTR"
2001,"Jan",1,2001-01-01,708.1333333,"RSTR"
2001,"Feb",1,2001-02-01,672,"RSTR"
2001,"Mar",1,2001-03-01,580.65,"RSTR"
2001,"Apr",1,2001-04-01,720,"RSTR"
2001,"May",1,2001-05-01,744,"RSTR"
2001,"Jun",1,2001-06-01,682.75,"RSTR"
2002,"Jan",1,2002-01-01,638.1166667,"RSTR"
2002,"Feb",1,2002-02-01,672,"RSTR"
2002,"Mar",1,2002-03-01,744,"RSTR"
2002,"Apr",1,2002-04-01,720,"RSTR"
2002,"May",1,2002-05-01,744,"RSTR"
2002,"Jun",1,2002-06-01,561.2333333,"RSTR"
2003,"Jan",1,2003-01-01,435.8833333,"RSTR"
2003,"Feb",1,2003-02-01,488.0333333,"RSTR"
2003,"Mar",1,2003-03-01,673.6333333,"RSTR"
2003,"Apr",1,2003-04-01,720,"RSTR"
2003,"May",1,2003-05-01,648,"RSTR"
2003,"Jun",1,2003-06-01,707.25,"RSTR"
2004,"Jan",1,2004-01-01,562.8333333,"RSTR"
2004,"Feb",1,2004-02-01,419.9166667,"RSTR"
2004,"Mar",1,2004-03-01,561,"RSTR"
2004,"Apr",1,2004-04-01,720,"RSTR"
2004,"May",1,2004-05-01,744,"RSTR"
2004,"Jun",1,2004-06-01,708.7666667,"RSTR"
2005,"Jan",1,2005-01-01,466.95,"RSTR"
2005,"Feb",1,2005-02-01,672,"RSTR"
2005,"Mar",1,2005-03-01,696.5,"RSTR"
2005,"Apr",1,2005-04-01,720,"RSTR"
2005,"May",1,2005-05-01,576.9166667,"RSTR"
2005,"Jun",1,2005-06-01,563.5,"RSTR"
2006,"Jan",1,2006-01-01,229.6666667,"RSTR"
2006,"Feb",1,2006-02-01,386.4,"RSTR"
2006,"Mar",1,2006-03-01,193.6833333,"RSTR"
2006,"Apr",1,2006-04-01,46.15,"RSTR"
2006,"May",1,2006-05-01,371.2166667,"RSTR"
2006,"Jun",1,2006-06-01,706.6333333,"RSTR"
2007,"Jan",1,2007-01-01,709.75,"RSTR"
2007,"Feb",1,2007-02-01,672,"RSTR"
2007,"Mar",1,2007-03-01,744,"RSTR"
2007,"Apr",1,2007-04-01,720,"RSTR"
2007,"May",1,2007-05-01,744,"RSTR"
2007,"Jun",1,2007-06-01,9.833333333,"RSTR"
2008,"Jan",1,2008-01-01,541,"RSTR"
2008,"Feb",1,2008-02-01,521.1666667,"RSTR"
2008,"Mar",1,2008-03-01,685.6666667,"RSTR"
2008,"Apr",1,2008-04-01,720,"RSTR"
2008,"May",1,2008-05-01,744,"RSTR"
2008,"Jun",1,2008-06-01,130.9166667,"RSTR"
2009,"Jan",1,2009-01-01,541.1666667,"RSTR"
2009,"Feb",1,2009-02-01,637.5,"RSTR"
2009,"Mar",1,2009-03-01,380.55,"RSTR"
2009,"Apr",1,2009-04-01,422.2333333,"RSTR"
2009,"May",1,2009-05-01,367.65,"RSTR"
2009,"Jun",1,2009-06-01,219.1166667,"RSTR"
